name,status,total_energy,formation_energy,fermi_level,vacuum_level,workfunction,metal_type,gap,vbm_energy,cbm_energy,vbm_coordi,cbm_coordi,vbm_index,cbm_index
POSCAR-Sc2H2NO2-164-POSCAR-Sc3C2F2-187,done,-106.00664,-26.7898,0.37926529,5.448,5.069,metal,-0.7323,0.7798,0.7798,"['0.000000', '0.000000', '0.000000']","['0.447368', '0.105263', '0.000000']",48,49
POSCAR-AsClSe-156-POSCAR-SnS-156,done,-20.962237,-1.789287,-1.87925194,4.376,6.255,indirect,1.3402,-2.094,-2.094,"['0.070175', '0.070175', '0.000000']","['0.500000', '0.000000', '0.000000']",19,20
POSCAR-Bi2I6-147-POSCAR-CaCl2-187,done,-74.011415,-31.401875,-2.77689924,3.531,6.308,indirect,2.5386,-3.0041,-3.0041,"['0.210526', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",84,85
POSCAR-SnSe2-164-POSCAR-VBrI-156,done,-26.41716,-1.29866,-0.06584831,4.74,4.806,metal,-3.8057,3.8057,3.8057,"['0.122807', '0.122807', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-ScCl2-187-POSCAR-VSTe-156,done,-35.252322,-7.416002,-0.22567194,4.97,5.196,metal,-0.849,0.2584,0.2584,"['0.333333', '0.333333', '0.000000']","['0.500000', '0.000000', '0.000000']",25,26
POSCAR-ReBr2-164-POSCAR-ZrSeTe-156,done,-34.026733,-0.801243,-0.51657885,4.522,5.038,metal,-2.7262,2.7262,2.7262,"['0.315790', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Ti2Te2-187-POSCAR-VTe2-187,done,-41.517998,-0.602168,1.05402668,5.963,4.909,metal,-3.2713,3.2713,3.2713,"['0.157895', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-BSb-187-POSCAR-Zr2Te2-187,done,-35.618297,1.1740230000000054,0.423376,4.931,4.508,indirect,0.2895,0.2802,0.2802,"['0.333333', '0.333333', '0.000000']","['0.500000', '0.000000', '0.000000']",22,23
POSCAR-Sc4F2N3-164-POSCAR-WSb2-187,done,-99.813639,-21.842969,1.92305876,6.282,4.358,metal,-5.5718,5.5718,5.5718,"['0.228070', '0.228070', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Y2Cl2-164-POSCAR-ZrSTe-156,done,-43.73671,-9.61539,-0.36817653,4.578,4.946,metal,-0.5299,0.112,0.112,"['0.000000', '0.000000', '0.000000']","['0.500000', '0.000000', '0.000000']",30,31
POSCAR-AsSe2-164-POSCAR-W2I6-162,done,-86.340777,2.7736030000000085,-0.7446337,4.518,5.262,metal,-0.4068,-0.4162,-0.4162,"['0.333333', '0.333333', '0.000000']","['0.000000', '0.000000', '0.000000']",69,70
POSCAR-V2S2-164-POSCAR-Zr2Br2N2-164,done,-79.37636,-12.92286,0.78523435,5.366,4.58,metal,-1.1336,1.6024,1.6024,"['0.000000', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",43,44
POSCAR-NbS2-164-POSCAR-Zr2Cl2-164,done,-49.557804,-8.235184,0.62282975,5.87,5.247,metal,-4.9351,4.9351,4.9351,"['0.500000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-HfSb2-164-POSCAR-TiCl2-187,done,-36.783097,-5.136387,0.80643733,5.388,4.581,metal,-1.5942,1.8708,1.8708,"['0.035088', '0.035088', '0.000000']","['0.210526', '0.210526', '0.000000']",23,24
POSCAR-Al2Mg2Se5-164-POSCAR-PdBr2-164,OSZICAR error,0.01,0.01,0,0,0,Unknown,0,0,0,[0. 0. 0.],[0. 0. 0.],-1,-1
POSCAR-MoSTe-156-POSCAR-Sc2Cl2N-164,done,-56.777937,-12.007047,1.22128943,5.534,4.313,metal,-4.1155,4.1155,4.1155,"['0.315790', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-AsITe-156-POSCAR-RuI2-164,done,-23.903946,0.05623399999999634,-0.09184117,4.754,4.846,indirect,0.993,-0.3417,-0.3417,"['0.087719', '0.087719', '0.000000']","['0.000000', '0.000000', '0.000000']",23,24
POSCAR-NbSe2-164-POSCAR-Zr2I6-189,done,-118.47005,-15.04923,0.18986908,5.085,4.895,metal,-0.2826,0.4268,0.4268,"['0.000000', '0.000000', '0.000000']","['0.236842', '0.000000', '0.000000']",83,84
POSCAR-Sc2I6-162-POSCAR-TiBrI-156,done,-92.189983,-19.612703,0.21418949,4.32,4.106,metal,-0.0246,0.2451,0.2451,"['0.333333', '0.333333', '0.000000']","['0.500000', '0.000000', '0.000000']",84,85
POSCAR-BiVSb-156-POSCAR-Zr4N3-164,done,-89.180008,-9.354038,2.91486893,7.668,4.753,metal,-0.3235,3.1862,3.1862,"['0.500000', '0.000000', '0.000000']","['0.157895', '0.157895', '0.000000']",48,49
POSCAR-Mo3C2-187-POSCAR-VAs2-164,done,-71.962817,1.4055529999999976,1.7172159,6.687,4.97,metal,-4.5617,4.5617,4.5617,"['0.228070', '0.228070', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Hf4C3O2-164-POSCAR-Sc2CH2O2-164,done,-145.18838,-28.95396,0.6332791,5.742,5.109,metal,-0.8748,1.15,1.15,"['0.000000', '0.000000', '0.000000']","['0.500000', '0.000000', '0.000000']",52,53
POSCAR-Ti2Br6-189-POSCAR-Zr2Br6-189,done,-75.2297,-18.12072,-1.08451845,3.689,4.773,metal,-0.5771,-0.6343,-0.6343,"['0.000000', '0.000000', '0.000000']","['0.359649', '0.280702', '0.000000']",66,67
POSCAR-Bi2Hf-187-POSCAR-WSb2-164,done,-40.654197,1.252402999999994,1.84496803,6.232,4.387,metal,-2.5714,3.0877,3.0877,"['0.000000', '0.000000', '0.000000']","['0.394737', '0.210526', '0.000000']",32,33
POSCAR-BiIS-156-POSCAR-ClSbTe-156,done,-22.885947,-2.428457,-1.46112331,4.31,5.771,indirect,1.5353,-1.6758,-1.6758,"['0.087719', '0.087719', '0.000000']","['0.000000', '0.000000', '0.000000']",23,24
POSCAR-TaAs2-164-POSCAR-Ti2Br6-189,done,-126.99963,-8.40971,-0.45278914,4.386,4.839,metal,-0.5837,-0.0422,-0.0422,"['0.000000', '0.000000', '0.000000']","['0.447368', '-0.447368', '0.000000']",75,76
POSCAR-Hf2CO2-164-POSCAR-Hf3N2O2-187,done,-126.66464,-31.32286,0.50546941,5.095,4.589,indirect,0.0302,0.5135,0.5135,"['0.000000', '0.000000', '0.000000']","['0.500000', '0.000000', '0.000000']",44,45
POSCAR-Sc2CO2-164-POSCAR-VSb2-164,done,-59.813178,-9.592088,-0.51408881,6.064,6.578,metal,-4.1998,4.1998,4.1998,"['0.052632', '0.052632', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-WSe2-187-POSCAR-Zr3C2O2-187,done,-90.954592,-15.164452,0.68708028,6.081,5.394,indirect,0.0581,0.6736,0.6736,"['0.333333', '0.333333', '0.000000']","['0.500000', '0.000000', '0.000000']",41,42
POSCAR-KTiS2-156-POSCAR-TaSTe-156,done,-45.308371,-6.654891,-0.31458581,5.1,5.414,metal,-0.7415,0.1304,0.1304,"['0.333333', '0.333333', '0.000000']","['0.500000', '0.000000', '0.000000']",28,29
POSCAR-RuBr2-164-POSCAR-VBrCl-156,done,-28.603564,-1.739264,-0.03683276,4.092,4.129,metal,-5.9599,5.9599,5.9599,"['0.342105', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-VS2-187-POSCAR-Zr2N-164,done,-50.766987,-5.999707,0.20697469,5.709,5.502,metal,-0.4944,0.4775,0.4775,"['0.500000', '0.000000', '0.000000']","['0.122807', '0.122807', '0.000000']",27,28
POSCAR-F2Si2-164-POSCAR-SbSe2-164,done,-34.047078,-6.753848,-2.03098003,3.738,5.769,metal,-2.1884,2.1884,2.1884,"['0.263158', '0.263158', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-CdGaInS4-156-POSCAR-ClSbSe-156,done,-39.901289,-5.107039,-0.2154279,5.066,5.281,indirect,0.1464,-0.2985,-0.2985,"['0.000000', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",40,41
